Country,Period,Number of persons
Belgium,2022-03-01,25930
Belgium,2022-04-01,36745
Belgium,2022-05-01,43780
Belgium,2022-06-01,47945
Belgium,2022-07-01,51035
Belgium,2022-08-01,54100
Belgium,2022-09-01,56245
Belgium,2022-10-01,55205
Belgium,2022-11-01,60050
Belgium,2022-12-01,61760
Belgium,2023-01-01,61100
Belgium,2023-02-01,62165
Belgium,2023-03-01,63085
Belgium,2023-04-01,63930
Belgium,2023-05-01,64950
Belgium,2023-06-01,66125
Belgium,2023-07-01,67125
Belgium,2023-08-01,68500
Belgium,2023-09-01,69770
Belgium,2023-10-01,71070
Belgium,2023-11-01,72085
Belgium,2023-12-01,72970
Belgium,2024-01-01,74115
Belgium,2024-02-01,75075
Belgium,2024-03-01,75985
Belgium,2024-04-01,76935
Belgium,2024-05-01,77875
Belgium,2024-06-01,78730
Belgium,2024-07-01,80090
Belgium,2024-08-01,81510
Belgium,2024-09-01,82805
Belgium,2024-10-01,83930
Belgium,2024-11-01,84685
Belgium,2024-12-01,85485
Belgium,2025-01-01,86530
Belgium,2025-02-01,87285
Belgium,2025-03-01,87770
Belgium,2025-04-01,87815
Belgium,2025-05-01,88270
Belgium,2025-06-01,88935
Czechia,2022-03-01,249465
Czechia,2022-04-01,314015
Czechia,2022-05-01,351875
Czechia,2022-06-01,372120
Czechia,2022-07-01,386995
Czechia,2022-08-01,397380
Czechia,2022-09-01,407480
Czechia,2022-10-01,418680
Czechia,2022-11-01,423870
Czechia,2022-12-01,431310
Czechia,2023-01-01,439750
Czechia,2023-02-01,446695
Czechia,2023-03-01,324375
Czechia,2023-04-01,330980
Czechia,2023-05-01,339205
Czechia,2023-06-01,348245
Czechia,2023-07-01,356645
Czechia,2023-08-01,364175
Czechia,2023-09-01,357085
Czechia,2023-10-01,363575
Czechia,2023-11-01,368450
Czechia,2023-12-01,372145
Czechia,2024-01-01,380295
Czechia,2024-02-01,384180
Czechia,2024-03-01,363510
Czechia,2024-04-01,344600
Czechia,2024-05-01,355595
Czechia,2024-06-01,359965
Czechia,2024-07-01,368790
Czechia,2024-08-01,376065
Czechia,2024-09-01,377665
Czechia,2024-10-01,378560
Czechia,2024-11-01,384380
Czechia,2024-12-01,387810
Czechia,2025-01-01,394170
Czechia,2025-02-01,396925
Czechia,2025-03-01,364290
Czechia,2025-04-01,369820
Czechia,2025-05-01,372885
Czechia,2025-06-01,0
Denmark,2022-03-01,1220
Denmark,2022-04-01,10385
Denmark,2022-05-01,20610
Denmark,2022-06-01,25050
Denmark,2022-07-01,26160
Denmark,2022-08-01,27635
Denmark,2022-09-01,29455
Denmark,2022-10-01,29505
Denmark,2022-11-01,30340
Denmark,2022-12-01,31815
Denmark,2023-01-01,32570
Denmark,2023-02-01,33510
Denmark,2023-03-01,34470
Denmark,2023-04-01,34565
