Unnamed: 0,Date,Close,High,Low,Open,Volume
1389,2025-07-14,549.0,551.5,540.0,543.0,10602
1388,2025-07-11,540.75,548.5,540.75,548.5,40
1387,2025-07-10,550.25,550.5,542.75,542.75,40
1386,2025-07-09,542.75,545.0,542.75,545.0,41
1385,2025-07-08,543.0,547.0,543.0,547.0,4
1384,2025-07-07,539.75,541.75,538.0,538.5,53
1383,2025-07-03,547.75,558.0,547.75,558.0,0
1382,2025-07-02,556.0,556.0,544.75,546.0,62
1381,2025-07-01,537.25,540.75,526.5,527.0,453
1380,2025-06-30,528.75,531.75,523.5,530.0,1972
1379,2025-06-27,524.75,529.5,520.5,521.0,12677
1378,2025-06-26,521.0,531.5,520.5,528.25,24542
1377,2025-06-25,528.25,537.0,526.5,535.0,18240
1376,2025-06-24,535.75,553.0,535.0,552.0,36906
1375,2025-06-23,552.75,570.0,549.5,567.0,44221
1374,2025-06-20,567.75,578.25,565.5,573.0,49117
1373,2025-06-18,574.25,575.0,547.0,549.0,0
1372,2025-06-17,549.0,552.25,536.25,536.25,71241
1371,2025-06-16,536.5,546.75,531.75,545.0,77417
1370,2025-06-13,543.75,544.75,522.25,526.75,102188
1369,2025-06-12,526.5,537.0,526.0,534.25,93654
1368,2025-06-11,534.25,539.25,532.0,535.0,72453
1367,2025-06-10,534.5,542.0,530.75,540.0,90158
1366,2025-06-09,542.0,557.75,540.0,556.0,102603
1365,2025-06-06,554.75,555.75,540.25,545.25,97197
1364,2025-06-05,545.5,549.25,540.5,543.5,0
1363,2025-06-04,543.25,547.5,533.5,535.5,73113
1362,2025-06-03,536.0,545.5,531.75,538.0,80640
1361,2025-06-02,539.0,549.5,533.25,534.0,82568
1360,2025-05-30,534.0,538.5,531.25,534.25,49023
1359,2025-05-29,534.0,534.75,527.25,533.0,48247
1358,2025-05-28,530.25,535.75,526.75,531.0,60152
1357,2025-05-27,528.5,544.0,527.5,543.5,66898
1356,2025-05-23,542.5,548.5,538.5,545.0,61665
1355,2025-05-22,544.5,552.0,541.25,548.25,85214
1354,2025-05-21,549.25,556.25,545.0,546.0,85813
1353,2025-05-20,546.0,547.5,528.75,530.0,86585
1352,2025-05-19,529.0,536.0,524.5,527.0,64286
1351,2025-05-16,525.0,533.5,523.5,533.5,49356
1350,2025-05-15,532.75,533.25,521.75,524.5,69748
1349,2025-05-14,508.75,508.75,508.75,508.75,62950
1348,2025-05-13,501.5,501.5,501.5,501.5,19
1347,2025-05-12,499.0,499.0,499.0,499.0,16
1346,2025-05-09,505.5,505.5,505.5,505.5,6
1345,2025-05-08,513.0,513.0,511.0,511.25,10
1344,2025-05-07,518.0,518.5,517.0,517.0,82
1343,2025-05-06,519.0,520.5,519.0,520.5,19
1342,2025-05-05,514.25,525.25,514.25,525.25,4
1341,2025-05-02,526.5,530.75,520.75,520.75,103
1340,2025-05-01,515.25,523.5,515.0,518.75,706
1339,2025-04-30,513.0,520.0,505.0,507.25,1204
1338,2025-04-29,505.75,521.0,505.0,518.0,20109
1337,2025-04-28,515.5,529.0,511.5,529.0,32411
1336,2025-04-25,530.0,534.75,527.5,529.5,30800
1335,2025-04-24,529.25,530.5,524.25,528.75,25897
1334,2025-04-23,528.25,537.5,527.75,535.75,29029
